Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Nossa Senhora dos Remédios (PI),340.6,21.2,124.9620975,57.09,74.73,3.37,57.49,59.76,0.53,47.25,59.41,0.523,67.02,53.15,2.36,2272,2901,307,428,6077,7214,2705,4509,PI,Grupo 1
Nova Aliança (SP),218.5,21.8,406.9594383,76.05,8.09,1.89,11.34,259.73,0.48,33.59,30.24,0.806,78.48,90.63,5.18,2320,2864,359,510,4194,4768,3619,1149,SP,Grupo 1
Nova Aliança do Ivaí (PR),129.4,10.3,419.7604174,69.4,19.97,2.53,16.02,184.68,0.53,30.27,35.1,0.742,80.1,86.39,5.31,539,683,54,72,1206,1338,904,434,PR,Grupo 1
Nova Alvorada (RS),149.4,18.5,175.7492492,73.83,13.38,2.9,10.26,280.49,0.48,36.26,36.47,0.798,79.59,90.31,4.42,1322,1584,146,200,2653,2757,791,1966,RS,Grupo 1
Nova Alvorada do Sul (MS),4029.9,2.5,116.881727,68.4,30.23,3.0,17.04,235.89,0.6,50.14,37.79,0.745,74.99,86.45,4.47,3051,4691,166,319,7330,9956,6682,3274,MS,Grupo 1
Nova América (GO),212.8,10.3,196.4981387,68.02,26.46,2.3,23.96,147.17,0.48,44.75,37.57,0.715,85.85,80.58,4.04,925,1201,98,170,2022,2185,1428,757,GO,Grupo 1
Nova América da Colina (PR),124.9,28.7,275.1052778,67.37,24.72,2.6,21.71,172.37,0.5,45.69,34.98,0.716,78.58,82.13,4.51,1772,1816,173,205,4105,3585,2401,1184,PR,Grupo 1
Nova Andradina (MS),4788.2,7.4,240.31058,73.05,17.69,2.25,14.82,256.34,0.56,46.53,37.81,0.786,81.91,87.97,5.22,13071,17917,947,1701,29848,35381,29882,5499,MS,Grupo 1
Nova Araçá (RS),54.3,59.3,160.6204875,72.91,15.13,2.05,6.12,433.63,0.52,80.0,33.24,0.834,85.62,94.65,6.1,1693,2021,190,273,2868,3236,2010,1226,RS,Grupo 1
Nova Aurora (PR),472.4,28.9,413.4233079,69.6,19.52,2.35,14.9,257.12,0.6,40.44,39.66,0.771,86.92,87.22,5.08,6973,7479,590,851,15494,13641,9061,4580,PR,Grupo 1
Nova Aurora (GO),303.6,6.3,186.383832,73.22,14.32,2.25,18.44,236.89,0.52,80.0,32.6,0.785,90.27,84.61,4.98,923,1154,93,154,1845,1927,1663,264,GO,Grupo 1
Nova Bandeirantes (MT),9576.3,0.7000000000000001,670.3507255,67.25,33.52,2.93,18.27,147.35,0.63,63.37,58.9,0.702,69.19,84.8,3.55,2548,3350,117,181,6244,6951,1872,5079,MT,Grupo 1
Nova Bassano (RS),225.5,34.7,152.5540839,74.64,11.94,2.05,4.89,425.91,0.46,47.37,33.68,0.844,83.77,96.19,5.79,3882,4738,429,648,6762,7836,3958,3878,RS,Grupo 1
