Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Abadia de Goiás (GO),136.9,36.3,21.41430839,67.58,27.7,2.85,15.64,205.27,0.53,36.89,34.4,0.742,80.17,88.03,4.87,1872,2433,121,227,4227,4971,3096,1875,GO,Grupo 1
Abadia dos Dourados (MG),897.4,7.2,390.8765127,72.92,20.51,2.54,14.48,196.36,0.52,51.9,35.22,0.76,74.57,86.58,4.36,3308,3781,354,459,6492,6446,3927,2519,MG,Grupo 1
Abadiânia (GO),1047.7,10.9,78.64143511,69.59,22.36,2.77,21.81,168.31,0.56,47.06,40.32,0.723,74.18,82.45,4.24,4241,5918,446,686,9402,11452,7206,4246,GO,Grupo 1
Abaetetuba (PA),1613.9,73.8,51.18455171,70.77,25.61,3.15,24.85,102.14,0.59,44.61,51.04,0.706,81.76,80.74,4.28,33554,44897,3792,4688,99989,119152,70843,48309,PA,Grupo 7
Abaeté (MG),1822.4,12.3,172.3115491,72.5,21.59,2.41,15.56,253.68,0.58,41.53,31.68,0.778,78.39,87.55,4.78,10163,12406,1084,1595,20689,22360,19022,3338,MG,Grupo 1
Abaiara (CE),182.6,45.9,408.503627,67.2,42.98,3.51,47.83,71.76,0.62,59.35,65.18,0.627,87.99,59.97,2.75,3102,3722,526,607,7889,8385,3208,5177,CE,Grupo 1
Abaíra (BA),580.6,15.6,342.631865,68.71,30.53,2.18,31.65,102.11,0.55,53.32,50.94,0.681,78.32,76.11,2.89,4236,4879,876,1057,8754,9067,3559,5508,BA,Grupo 1
Abaré (BA),1700.8,8.0,476.8358385,59.4,64.11,3.07,39.18,79.88,0.56,51.47,56.43,0.595,78.34,66.95,3.06,4177,5615,710,842,11449,13648,5528,8120,BA,Grupo 1
Abatiá (PR),247.2,33.3,258.4276561,69.62,19.48,2.6,26.43,148.92,0.47,34.05,36.93,0.71,75.63,79.01,3.93,4465,4300,394,577,10238,8259,5356,2903,PR,Grupo 1
Abdon Batista (SC),198.0,14.0,243.6190155,74.4,14.87,2.5,10.06,166.91,0.5,34.78,39.67,0.774,83.1,89.15,4.55,1458,1507,131,149,3245,2775,713,2062,SC,Grupo 1
Abel Figueiredo (PA),616.9,9.6,388.8927371,67.52,35.75,3.06,30.49,194.77,0.61,42.07,42.47,0.704,74.56,75.05,3.36,1899,2432,167,227,5112,5957,4897,1060,PA,Grupo 1
Abelardo Luz (SC),1037.7,15.8,391.0529143,75.83,11.9,2.35,16.4,237.02,0.72,61.02,56.84,0.785,73.74,86.44,4.6,5487,7638,421,683,13128,16440,7228,9212,SC,Grupo 1
Abre Campo (MG),472.4,28.2,163.3776767,69.78,29.33,2.68,19.82,161.48,0.52,36.98,42.99,0.719,69.04,83.72,3.99,6113,6819,854,1027,13133,13348,5983,7365,MG,Grupo 1
Abreu e Lima (PE),129.1,690.1,15.96368059,70.73,34.58,2.15,16.78,129.6,0.48,47.51,45.63,0.73,81.72,85.74,5.54,33054,44455,2987,4202,77035,89039,77696,11343,PE,Grupo 1
Abreulândia (TO),1903.1,1.1,108.1625774,64.85,44.2,2.94,26.38,105.26,0.57,55.08,51.98,0.667,77.41,79.25,3.5,772,989,78,117,1935,2189,1073,1116,TO,Grupo 1
Acaiaca (MG),101.2,38.3,104.1346558,63.36,52.68,2.24,24.66,136.2,0.56,31.8,40.88,0.678,78.71,81.03,3.67,1642,2011,284,352,3589,3889,2385,1504,MG,Grupo 1
Acajutiba (BA),268.5,53.1,155.0273846,59.33,64.43,3.09,39.7,80.28,0.6,54.21,60.36,0.607,83.71,69.62,3.05,5272,6357,1016,1186,12894,14322,12184,2138,BA,Grupo 1
Acarape (CE),136.5,94.7,59.23261875,62.9,60.34,3.8,38.18,79.35,0.51,46.5,51.81,0.623,81.32,69.27,3.5,4069,5685,500,789,10191,12927,7025,5902,CE,Grupo 1
Acaraú (CE),839.2,58.4,197.8184874,65.24,50.54,4.57,45.6,80.6,0.65,58.35,59.19,0.617,81.34,60.25,2.44,16514,20074,2209,2913,45505,48968,24582,24386,CE,Grupo 1
Acará (PA),4363.6,11.8,65.66332785,67.85,34.63,4.07,41.16,81.8,0.51,40.31,48.26,0.629,62.39,68.39,2.23,12537,19040,1323,2049,37184,52126,9745,42381,PA,Grupo 1
Acari (RN),612.9,18.2,173.3097936,68.67,36.7,2.34,29.32,133.38,0.49,40.52,41.76,0.698,81.67,75.72,4.52,5125,5715,963,1002,11270,11189,8841,2348,RN,Grupo 1
Acauã (PI),994.9,5.2,395.8402898,56.17,79.28,3.69,41.08,39.59,0.67,73.41,73.66,0.532,76.05,65.35,1.79,1884,2233,258,289,5217,5147,675,4472,PI,Grupo 1
Acopiara (CE),2296.2000000000003,20.5,282.7956327,62.06,64.09,3.02,49.24,90.04,0.72,68.39,65.37,0.597,80.93,57.05,2.3,20696,22912,3399,3988,49259,47137,22230,24907,CE,Grupo 1
Acorizal (MT),844.1,6.9,52.13629688,69.67,26.3,3.14,35.43,124.33,0.59,53.92,49.45,0.695,80.89,74.04,3.26,2134,2673,318,401,5308,5817,2773,3044,MT,Grupo 1
Acrelândia (AC),1609.7,4.9,102.7801679,67.39,28.33,4.36,35.53,136.54,0.64,60.96,54.69,0.68,75.35,73.31,3.27,1677,3046,92,228,4792,7935,3506,4429,AC,Grupo 1
Acreúna (GO),1571.1,11.6,143.4666658,70.09,21.13,2.22,21.78,249.96,0.6,59.73,39.57,0.763,90.65,81.37,4.39,6024,9114,358,744,14059,18301,15883,2418,GO,Grupo 1
Açailândia (MA),6431.0,13.7,445.1678467,62.3,52.16,3.27,30.64,148.62,0.63,45.89,45.18,0.666,80.52,75.13,3.78,22384,35029,1399,2707,63626,88320,64164,24156,MA,Grupo 1
Açu (RN),1297.5,36.9,189.528822,65.66,47.56,2.83,33.25,141.27,0.6,51.25,47.1,0.677,84.01,71.13,4.65,17996,22733,2723,3029,43591,47904,34645,13259,RN,Grupo 1
Açucena (MG),814.0,14.1,169.2990246,67.89,35.44,2.58,31.68,90.49,0.56,53.99,52.01,0.659,73.48,73.99,2.97,5400,5559,865,1039,12399,11489,4579,6910,MG,Grupo 1
Adamantina (SP),412.9,81.10000000000001,499.9510598,71.71,14.96,1.98,12.11,354.98,0.54,42.19,33.3,0.812,89.73,90.52,6.37,17154,19917,2296,3264,32091,33497,30368,3129,SP,Grupo 1
Adelândia (GO),115.7,21.5,101.477113,68.61,24.88,2.46,25.58,164.76,0.56,45.25,40.67,0.715,79.69,79.25,4.07,1007,1288,64,160,2339,2460,2039,421,GO,Grupo 1
Adolfo (SP),211.4,17.400000000000002,401.9292569,76.77,7.12,2.02,17.06,238.02,0.45,48.48,35.02,0.795,77.36,86.86,4.78,1673,2096,210,298,3272,3684,3071,613,SP,Grupo 1
Adrianópolis (PR),1333.0,5.3,90.25479778,69.87,18.94,3.21,31.63,115.6,0.59,65.88,58.81,0.683,72.23,74.09,3.67,3839,3366,501,568,8935,7007,1613,5394,PR,Grupo 1
Adustina (BA),636.0,22.6,274.5750212,56.31,78.58,3.21,54.73,85.81,0.52,42.28,50.48,0.551,75.6,54.5,1.72,5126,6236,724,864,13714,14302,4484,9818,BA,Grupo 1
Afogados da Ingazeira (PE),386.0,85.3,305.419164,68.66,42.39,2.64,36.78,140.66,0.66,55.05,55.8,0.683,75.99,70.52,4.16,12690,15584,2036,2469,29617,32922,23149,9773,PE,Grupo 1
Afonso Bezerra (RN),560.8000000000001,19.4,147.1712354,65.5,48.17,2.29,47.15,92.47,0.62,53.79,58.48,0.629,83.78,60.59,3.23,4374,5279,666,907,10733,10867,6500,4367,RN,Grupo 1
Afonso Claúdio (ES),955.2,33.7,86.37269287,69.39,25.23,2.4,22.67,183.75,0.55,47.49,44.0,0.717,65.91,82.44,4.2,13866,16334,1630,2170,31570,32232,14463,17769,ES,Grupo 1
Afonso Cunha (MA),372.6,12.6,208.6202233,60.71,58.54,4.45,53.99,49.05,0.53,48.35,61.57,0.558,80.89,57.78,2.0,1474,1752,202,235,4580,4680,2255,2425,MA,Grupo 1
Afrânio (PE),1488.6,10.1,675.3347901,68.35,43.61,3.23,45.61,71.18,0.57,51.32,59.48,0.634,80.17,64.33,2.18,5168,6584,738,935,13305,15014,3985,11029,PE,Grupo 1
Afuá (PA),8410.3,3.5,254.1767807,69.72,28.67,5.8,52.49,75.02,0.48,41.32,48.88,0.612,66.66,56.39,1.66,6097,9415,620,983,20008,29505,6782,22723,PA,Grupo 1
Agrestina (PE),198.0,101.2,125.3226104,64.41,60.72,3.46,51.45,108.04,0.63,54.98,53.36,0.612,73.65,57.04,2.82,7604,9455,1431,1705,17993,20036,12895,7141,PE,Grupo 1
Agricolândia (PI),99.2,53.8,80.25522694,65.35,41.11,2.75,41.64,66.68,0.49,49.05,55.66,0.622,82.3,66.76,3.51,2201,2450,302,395,5457,5340,3942,1398,PI,Grupo 1
Agrolândia (SC),192.3,40.6,127.5290259,73.28,17.4,2.86,8.7,213.5,0.47,42.05,37.04,0.775,70.34,92.82,4.73,4040,4219,456,494,8565,7810,4634,3176,SC,Grupo 1
Agronômica (SC),116.7,36.5,120.3947035,76.01,11.55,2.08,7.0,267.32,0.46,30.97,31.22,0.811,77.1,93.08,4.51,2059,2359,207,275,4317,4257,872,3385,SC,Grupo 1
Aguaí (SP),474.6,59.3,169.1467259,71.55,15.24,2.59,11.66,308.12,0.56,58.41,29.82,0.786,76.05,89.93,5.27,11737,15081,1364,2033,23363,28195,24708,3487,SP,Grupo 1
Aguanil (MG),235.8,15.1,195.0883319,72.85,20.68,2.39,19.87,196.55,0.49,36.73,30.44,0.741,67.24,82.04,4.17,1668,2037,231,324,3197,3562,1869,1693,MG,Grupo 1
Agudo (RS),533.1,32.7,198.4770671,73.23,14.51,2.37,9.94,277.63,0.53,46.7,35.67,0.786,69.92,91.54,4.84,8912,10125,1158,1514,16718,17455,5655,11800,RS,Grupo 1
Agudos (SP),970.0,33.5,268.7790503,70.79,16.67,2.23,10.31,266.32,0.54,55.47,45.8,0.786,83.85,91.39,5.97,13872,16504,1518,1961,30051,32484,30692,1792,SP,Grupo 1
Agudos do Sul (PR),191.7,37.6,63.08891241,67.23,25.07,2.81,15.72,153.99,0.56,48.13,46.01,0.712,71.47,87.12,4.13,2656,3592,323,441,6076,7221,1466,5755,PR,Grupo 1
Aguiar (PB),385.9,14.6,364.7716956,61.51,55.3,3.33,54.72,60.38,0.53,53.78,61.35,0.56,75.51,54.56,2.51,2641,2602,423,473,6771,5638,2201,3437,PB,Grupo 1
Aguiarnópolis (TO),239.8,13.1,411.6592973,60.41,61.71,3.71,33.9,89.29,0.63,61.01,59.68,0.629,82.95,74.65,3.39,900,1250,102,147,2482,3145,2304,841,TO,Grupo 1
Aimorés (MG),1353.4,18.5,304.7229042,72.29,22.16,2.05,22.54,179.09,0.57,43.72,39.29,0.731,69.57,80.31,4.59,12592,13709,1755,2252,26440,25105,18764,6341,MG,Grupo 1
Aiquara (BA),195.9,27.1,196.6833822,62.65,50.83,3.57,40.56,86.14,0.56,47.49,54.02,0.627,86.36,67.36,2.7,2481,2330,336,432,6612,5315,2726,2589,BA,Grupo 1
Aiuaba (CE),2471.6,5.8,362.4859311,61.93,64.71,4.11,51.07,51.76,0.66,67.6,69.28,0.566,83.46,56.13,2.02,5158,6223,803,953,13219,14452,3162,11290,CE,Grupo 1
Aiuruoca (MG),651.8000000000001,9.9,249.1312232,70.64,26.76,2.18,18.88,207.12,0.61,37.45,35.8,0.736,69.16,82.85,4.25,3351,3698,415,580,6616,6469,3020,3449,MG,Grupo 1
Ajuricaba (RS),335.3,23.0,317.1021165,69.52,22.51,2.19,5.67,244.31,0.48,44.51,41.28,0.781,85.21,93.78,5.35,4546,4644,565,721,8607,7709,3759,3950,RS,Grupo 1
Alagoa (MG),162.0,17.3,271.0832386,71.53,24.22,2.31,20.18,157.73,0.55,38.92,40.41,0.726,69.4,82.84,3.74,1446,1599,195,254,2756,2800,1001,1799,MG,Grupo 1
Alagoa Grande (PB),333.7,87.4,85.17547031,66.03,38.83,3.04,52.17,93.48,0.56,41.88,50.27,0.609,75.16,54.38,2.76,12162,13434,2491,2812,30128,29169,16847,12322,PB,Grupo 1
Alagoa Nova (PB),119.6,155.3,98.81231213,64.62,43.62,3.44,47.79,82.87,0.61,50.08,58.21,0.612,78.19,60.85,2.71,6384,8534,1351,1675,15616,18575,8301,10274,PB,Grupo 1
Alagoinha (PB),94.7,124.9,77.41615884,58.54,67.95,2.9,53.31,83.42,0.54,44.63,51.43,0.573,81.52,56.47,2.39,4331,5238,904,957,11075,11833,7789,4044,PB,Grupo 1
Alagoinha (PE),180.1,69.5,213.3570114,65.79,54.41,3.2,39.25,92.26,0.56,52.45,55.43,0.63,75.24,64.6,3.31,5006,6198,884,1115,11068,12535,6738,5797,PE,Grupo 1
Alagoinha do Piauí (PI),429.4,17.0,296.3897532,62.21,52.53,2.41,60.59,96.08,0.55,51.69,52.74,0.576,74.71,48.53,1.93,3296,3294,385,417,8074,6868,1948,4920,PI,Grupo 1
Alagoinhas (BA),736.8000000000001,175.9,93.32022623,65.34,41.13,2.95,17.14,181.26,0.6,54.63,50.34,0.729,90.61,85.71,5.82,48178,62084,6074,8009,116894,130095,112440,17655,BA,Grupo 7
Alambari (SP),159.6,23.0,128.6560127,68.71,20.97,3.05,13.46,210.69,0.52,52.03,34.21,0.748,76.89,88.87,4.58,1499,1807,177,253,3296,3650,2444,1206,SP,Grupo 1
Albertina (MG),57.7,49.2,382.488279,72.38,21.91,2.59,20.55,214.7,0.47,43.6,28.7,0.747,66.66,83.87,3.82,1256,1546,164,228,2486,2841,1745,1096,MG,Grupo 1
Alcantil (PB),252.9,19.4,148.8791358,62.47,51.53,3.41,41.1,68.8,0.49,46.34,52.77,0.606,81.98,66.21,2.39,1706,2319,359,441,4050,4958,1671,3287,PB,Grupo 1
Alcântara (MA),1495.6,14.2,18.31347509,61.04,57.2,3.32,41.79,60.73,0.63,64.55,64.27,0.6,82.94,69.74,2.92,7320,8747,897,1196,19587,21291,5665,15626,MA,Grupo 1
Alcântaras (CE),134.9,70.8,222.5759723,62.8,60.81,3.35,46.99,68.42,0.55,53.26,57.8,0.607,90.85,61.35,2.6,3440,4198,566,800,8606,9548,2762,6786,CE,Grupo 1
Alcinópolis (MS),4413.7,0.8,255.2450116,69.46,27.06,2.92,19.33,192.47,0.53,55.39,42.67,0.745,81.82,85.63,3.92,2621,1832,159,119,6131,3679,2308,1371,MS,Grupo 1
Alcobaça (BA),1510.9,14.9,510.6783779,61.15,56.73,3.25,36.35,116.63,0.57,57.13,51.21,0.637,83.01,69.69,3.24,5722,8975,649,1094,15638,20900,7446,13454,BA,Grupo 1
Aldeias Altas (MA),1951.2,9.6,250.7240654,60.01,61.5,4.1,60.05,57.13,0.54,51.52,59.26,0.549,83.29,50.92,1.81,7106,7305,829,921,19520,18827,7375,11452,MA,Grupo 1
Alecrim (RS),320.1,26.5,433.7103056,69.46,22.64,2.53,8.49,150.55,0.51,37.68,47.17,0.743,81.36,91.2,4.47,4983,4974,634,780,9912,8487,2069,6418,RS,Grupo 1
Alegre (ES),778.6,40.7,133.8161597,68.63,27.29,3.02,21.29,216.98,0.58,36.38,38.31,0.739,78.81,83.27,5.21,14294,16572,2050,2685,30017,31714,19741,11973,ES,Grupo 1
Alegrete (RS),7808.8,10.8,440.2679353,70.21,20.87,2.59,9.73,270.44,0.6,49.65,41.9,0.793,91.78,91.68,6.33,40051,45949,4742,6387,78784,84338,75092,9246,RS,Grupo 1
Alegrete do Piauí (PI),263.7,17.900000000000002,321.5727831,58.89,66.36,2.66,54.77,97.91,0.56,44.7,51.4,0.566,73.75,52.15,2.2,1666,2169,212,261,4169,4713,2662,2051,PI,Grupo 1
Alegria (RS),175.20000000000002,30.5,368.3166715,70.58,20.03,2.19,12.28,160.89,0.56,50.79,49.95,0.745,80.62,87.75,4.33,3111,3117,335,445,6247,5367,1607,3760,RS,Grupo 1
Alenquer (PA),24496.8,1.7,694.5179787,67.39,36.16,4.53,22.05,87.66,0.58,47.07,52.38,0.673,75.52,80.85,3.96,12049,15134,1438,2104,35834,41784,25160,16624,PA,Grupo 1
Alexandria (RN),420.4,32.6,317.655292,67.34,41.33,2.33,44.15,79.63,0.57,61.18,60.01,0.637,85.74,62.41,3.4,6177,6840,1070,1195,14580,13772,8890,4882,RN,Grupo 1
Alexânia (GO),850.8000000000001,23.6,103.6477277,64.83,36.16,2.91,23.45,168.61,0.57,52.56,41.17,0.696,74.12,82.32,4.14,7056,9596,767,1081,16472,20047,15935,4112,GO,Grupo 1
Além Paraíba (MG),512.5,65.5,264.3092817,69.12,31.41,2.21,11.65,294.34,0.57,32.45,33.82,0.777,80.61,90.63,6.12,16495,19206,2291,2991,30932,33610,31028,2582,MG,Grupo 1
Alfenas (MG),849.2,78.60000000000001,273.7813461,76.85,11.44,2.24,10.11,357.09,0.58,56.68,32.32,0.829,77.71,91.47,6.13,25672,35370,2892,4227,52700,66957,62148,4809,MG,Grupo 1
Alfredo Chaves (ES),616.5,22.1,55.42936714,72.02,18.8,2.41,15.13,197.85,0.56,42.6,41.59,0.754,69.43,88.72,4.8,6090,7396,762,1015,12647,13616,5614,8002,ES,Grupo 1
Alfredo Marcondes (SP),119.8,30.8,520.4969778,76.19,7.89,1.87,13.74,237.32,0.53,48.77,39.47,0.799,79.88,88.8,5.19,1904,2203,273,386,3493,3697,2672,1025,SP,Grupo 1
Alfredo Vasconcelos (MG),122.9,41.5,148.7390286,70.5,27.17,2.58,19.27,144.49,0.52,28.54,41.89,0.72,71.88,84.07,4.27,1983,2646,178,255,4339,5101,3148,1953,MG,Grupo 1
Alfredo Wagner (SC),733.4,12.0,78.11151406,74.19,15.32,3.95,15.73,258.12,0.55,34.63,36.55,0.778,70.05,86.99,4.05,4523,4575,404,475,10153,8857,2473,6384,SC,Grupo 1
Algodão de Jandaíra (PB),454.6,4.9,121.4407649,61.71,54.49,2.89,57.24,56.19,0.51,53.27,60.06,0.552,77.08,51.46,1.76,881,940,154,156,2284,2209,866,1343,PB,Grupo 1
Alhandra (PB),225.4,70.60000000000001,36.43910322,63.41,47.95,3.09,44.96,81.51,0.54,54.47,52.42,0.605,77.01,61.87,2.89,4920,6791,615,761,13394,15914,8943,6971,PB,Grupo 1
Aliança (PE),266.4,139.6,63.21425563,59.69,85.29,3.13,45.98,74.77,0.54,50.6,53.27,0.578,72.09,63.43,3.05,14159,16311,1538,1962,37455,37189,17091,20098,PE,Grupo 1
Aliança do Tocantins (TO),1586.0,3.9,142.6625909,67.87,34.09,2.37,22.97,138.04,0.57,34.55,41.96,0.717,89.0,81.47,4.22,2311,2867,222,358,5906,6177,5120,1057,TO,Grupo 1
Almadina (BA),247.8,31.4,227.7822316,64.41,44.35,2.83,43.66,84.98,0.54,38.89,49.59,0.623,78.96,65.38,2.55,3696,3511,454,573,10004,7862,5416,2446,BA,Grupo 1
Almas (TO),4106.4,2.1,201.3707173,60.63,60.74,3.17,31.52,112.05,0.62,60.68,57.41,0.638,77.05,75.54,3.58,2869,3487,344,404,7985,8474,5577,2897,TO,Grupo 1
Almeirim (PA),73287.8,0.5,453.0553296,69.0,30.9,4.1,23.13,251.08,0.72,53.48,59.24,0.745,81.44,80.37,4.97,11656,12919,648,926,33442,33957,18916,15041,PA,Grupo 1
Almenara (MG),2308.6,15.3,530.8081803,64.69,47.21,2.42,40.27,162.67,0.68,39.95,47.96,0.668,77.25,69.34,3.62,14066,17077,1765,2474,33678,35385,27770,7615,MG,Grupo 1
Almino Afonso (RN),132.4,39.0,285.3611341,66.21,45.46,2.32,39.72,84.52,0.61,62.54,60.15,0.64,81.09,67.55,4.12,2354,2547,351,392,5698,5195,3375,1820,RN,Grupo 1
Almirante Tamandaré (PR),266.6,330.6,12.03309985,66.1,28.0,2.93,13.18,197.65,0.48,61.25,43.82,0.728,73.51,89.94,5.01,22836,40519,1429,2641,55438,88277,84755,3522,PR,Grupo 1
Aloândia (GO),102.5,20.8,119.0077719,68.58,24.95,2.51,22.44,226.05,0.56,40.58,33.6,0.743,85.51,81.14,4.25,1040,1266,161,219,1992,2128,1735,393,GO,Grupo 1
Alpercata (MG),167.9,41.5,228.262939,69.79,29.31,2.35,28.8,148.05,0.54,36.78,41.92,0.702,69.77,78.12,3.6,2952,3440,442,538,6752,6966,5312,1654,MG,Grupo 1
Alpestre (RS),324.90000000000003,31.6,355.9167527,67.12,28.68,2.47,16.69,140.08,0.58,44.56,52.34,0.714,81.56,85.68,3.92,5952,5438,581,746,13567,10266,2157,8109,RS,Grupo 1
Alpinópolis (MG),461.5,36.9,278.8182473,73.6,18.79,2.36,13.59,239.83,0.49,31.97,30.37,0.779,72.97,89.38,4.79,6815,9000,804,1126,13964,17031,13551,3480,MG,Grupo 1
Alta Floresta (MT),8982.800000000001,5.2,635.6075171,70.2,24.81,2.58,15.68,264.66,0.59,48.08,34.13,0.779,87.47,88.14,4.89,17222,22810,791,1651,42201,46982,37287,9695,MT,Grupo 1
Alta Floresta d'Oeste (RO),7111.8,3.7,415.523881,66.9,28.36,3.11,20.24,188.27,0.58,54.47,46.69,0.715,71.72,84.16,3.77,8872,11804,428,890,23546,26533,12341,14192,RO,Grupo 1
Altair (SP),317.0,11.2,418.5437753,73.53,11.83,2.64,16.29,225.66,0.5,61.96,36.48,0.766,72.65,85.28,4.68,1520,1808,169,201,3239,3530,2550,980,SP,Grupo 1
Altamira (PA),161445.9,0.5,454.548687,70.09,27.56,3.03,22.75,205.0,0.58,41.05,40.86,0.737,75.82,81.6,4.62,24617,32283,1460,2673,65941,77439,62285,15154,PA,Grupo 1
Altamira do Maranhão (MA),220.2,48.0,223.0822856,60.23,60.54,4.06,47.0,52.73,0.53,57.19,61.17,0.567,81.59,61.0,2.59,2667,3470,308,459,7557,8865,2894,5971,MA,Grupo 1
Altamira do Paraná (PR),386.3,18.1,353.1160476,67.53,24.31,2.66,32.5,122.75,0.62,45.3,52.04,0.677,70.7,76.67,3.18,2920,3405,235,368,7437,6999,2119,4880,PR,Grupo 1
Altaneira (CE),87.10000000000001,65.2,388.3402708,60.79,70.03,3.7,52.26,70.93,0.63,60.87,64.9,0.576,77.5,58.27,2.19,2071,2696,399,515,4806,5687,3787,1900,CE,Grupo 1
Altãnia (PR),889.2,21.6,498.3267012,70.15,18.36,2.05,20.76,185.52,0.53,39.08,35.68,0.743,82.81,83.23,4.3,12018,11026,1251,1644,24589,19230,11704,7526,PR,Grupo 1
Alterosa (MG),367.1,35.300000000000004,277.6844856,70.23,27.97,2.52,17.37,197.74,0.5,46.13,34.92,0.736,68.61,85.48,4.18,5683,7111,747,1014,11615,12976,8989,3987,MG,Grupo 1
Altinho (PE),452.6,48.8,138.300789,62.62,69.48,2.76,50.95,83.88,0.58,65.04,58.65,0.59,76.88,56.13,2.62,10582,11063,2130,2249,23144,22131,10542,11589,PE,Grupo 1
Altinópolis (SP),932.0,16.6,290.3333811,75.12,9.39,2.39,10.9,385.17,0.63,38.74,29.78,0.823,78.16,91.02,5.26,6919,8438,756,1182,13642,15481,12547,2934,SP,Grupo 1
Alto Alegre (RR),26109.7,0.7000000000000001,91.94861186,64.08,41.15,4.42,28.75,79.21,0.58,72.06,66.23,0.662,87.49,80.92,3.63,5010,6807,314,475,11211,17907,5195,12712,RR,Grupo 1
Alto Alegre (SP),319.1,13.4,422.8563241,73.08,12.58,2.65,15.57,219.66,0.49,49.94,34.0,0.774,81.01,86.69,4.85,2616,2602,336,434,4787,4261,3017,1244,SP,Grupo 1
Alto Alegre (RS),110.6,19.3,220.5207662,73.4,14.2,2.11,9.87,251.64,0.52,33.14,37.72,0.797,82.45,91.87,4.85,1124,1292,183,215,2139,2137,719,1418,RS,Grupo 1
Alto Alegre do Maranhão (MA),453.4,44.3,187.686443,56.55,77.4,2.96,55.94,64.09,0.52,52.04,58.68,0.538,73.75,56.15,1.95,5478,8139,731,1063,14227,20162,12997,7165,MA,Grupo 1
Alto Alegre do Parecis (RO),3952.7,3.2,436.1361906,66.82,28.59,3.56,24.26,111.78,0.52,46.67,52.27,0.674,64.8,82.48,3.14,3119,5387,127,323,8623,12708,2449,10259,RO,Grupo 1
Alto Alegre do Pindaré (MA),2177.2,13.8,219.3874794,58.18,69.6,4.48,57.25,60.9,0.56,52.2,58.37,0.542,76.94,53.67,1.91,9079,10750,1047,1180,25726,30177,7909,22268,MA,Grupo 1
Alto Araguaia (MT),5556.5,2.0,361.670369,73.81,16.0,2.54,18.0,233.35,0.59,47.86,37.93,0.786,86.04,86.13,4.9,4858,5966,432,651,10770,11410,9072,2338,MT,Grupo 1
Alto Bela Vista (SC),104.2,20.1,328.4915342,72.62,18.97,2.2,5.73,234.33,0.47,25.64,34.48,0.795,82.4,95.04,4.75,954,1258,86,214,1970,2098,522,1576,SC,Grupo 1
Alto Boa Vista (MT),6142.900000000001,1.0,669.6232508,66.29,36.66,3.23,22.57,172.0,0.58,58.72,49.88,0.708,74.1,83.6,3.78,1523,2794,96,188,3935,6206,1961,4245,MT,Grupo 1
Alto Caparaó (MG),130.3,35.9,228.4833551,73.36,19.38,2.71,22.33,264.04,0.58,48.94,32.65,0.758,63.35,82.78,3.92,1563,2362,177,296,3393,4673,3329,1344,MG,Grupo 1
Alto do Rodrigues (RN),207.4,45.8,180.7656422,67.65,40.24,2.69,32.83,143.88,0.55,44.62,43.3,0.688,81.68,71.82,4.01,3502,4613,547,599,8247,9499,6482,3017,RN,Grupo 1
Alto Feliz (RS),85.3,33.2,71.66620024,75.5,10.47,2.12,4.57,247.82,0.4,20.23,26.88,0.808,75.86,95.64,4.94,1359,1810,231,351,2295,2834,712,2122,RS,Grupo 1
Alto Garças (MT),3672.2,2.3000000000000003,312.2927673,72.49,19.02,2.27,17.11,325.45,0.69,57.37,38.78,0.795,81.7,87.46,5.08,3818,4390,356,513,8306,8335,7247,1088,MT,Grupo 1
Alto Horizonte (GO),505.6,5.1000000000000005,276.0611029,68.92,24.07,2.12,17.51,178.18,0.58,55.59,45.94,0.743,88.73,84.47,4.42,991,1341,74,127,2359,2564,1620,944,GO,Grupo 1
Alto Jequitibá (MG),153.20000000000002,54.9,218.3119484,71.49,24.33,2.81,15.98,192.34,0.5,38.22,36.48,0.735,61.38,86.17,4.57,3643,4397,526,667,7435,8458,4011,4447,MG,Grupo 1
Alto Longá (PI),1667.0,7.2,67.94349369,64.33,44.64,3.07,54.09,64.22,0.57,52.07,60.76,0.58,76.23,54.09,2.09,4906,5534,691,927,12323,12000,5604,6396,PI,Grupo 1
Alto Paraguai (MT),2059.9,4.2,127.1662673,66.01,37.61,3.13,20.62,125.42,0.55,52.47,50.91,0.704,87.45,83.57,4.29,3157,4026,251,548,7849,8605,6522,2083,MT,Grupo 1
Alto Paraíso (RO),2658.7000000000003,4.9,123.5144224,66.57,29.28,3.15,21.88,228.16,0.65,64.16,48.65,0.715,64.05,83.81,3.38,3678,5790,189,409,9473,13118,4036,9082,RO,Grupo 1
